"type_name","team_name","selected_by","total_points","team_code","team_id","status","first_name","second_name","now_cost","value_form","value_season","points_per_game","ep_next","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","ea_index","bps","team"
"Defender","Everton",4.9,86,11,6,"a","Seamus","Coleman",68,0.6,12.6,3.7,4.3,1986,2,3,6,30,1,0,0,2,0,0,9,315,426,6
"Defender","Everton",0.1,9,11,6,"a","Antolin","Alcaraz",42,0.1,2.1,1.3,0.3,436,0,0,1,6,0,0,0,1,1,0,0,53,87,6
"Defender","Everton",1,40,11,6,"a","John","Stones",52,0.8,7.7,3.3,4,1053,0,0,4,12,0,0,0,1,0,0,5,136,253,6
"Defender","Everton",0.3,1,11,6,"a","Luke","Garbutt",39,0,0.3,1,0,90,0,0,0,3,0,0,0,0,0,0,0,5,17,6
"Defender","Everton",0.2,2,11,6,"a","Tyias","Browning",40,0,0.5,1,0,31,0,0,0,0,0,0,0,0,0,0,0,5,6,6
"Defender","Everton",0,9,11,6,"d","Bryan","Oviedo",48,0.4,1.9,1.5,1.3,320,0,0,1,1,0,0,0,3,0,0,0,26,48,6
"Midfielder","Everton",0.5,29,11,6,"d","Leon","Osman",50,0,5.8,2.6,0,597,1,1,1,8,0,0,0,0,0,0,3,150,129,6
"Midfielder","Everton",0.4,6,11,6,"a","Darron","Gibson",42,0.1,1.4,1.2,0.5,139,0,0,0,4,0,0,0,0,0,0,0,20,35,6
"Midfielder","Everton",3.4,47,11,6,"a","Ross","Barkley",67,0.2,7,2.6,1.3,1278,1,2,4,15,0,0,0,1,0,0,2,192,244,6
"Midfielder","Everton",0.3,16,11,6,"d","Steven","Pienaar",58,0,2.8,2,0,254,0,2,0,4,0,0,0,1,0,0,1,37,47,6
"Midfielder","Everton",2.1,58,11,6,"a","Kevin","Mirallas",72,0.2,8.1,2.9,1.5,1069,5,1,2,20,0,0,1,2,0,0,2,198,160,6
"Midfielder","Everton",0.9,31,11,6,"a","James","McCarthy",46,0.2,6.7,1.9,1,1328,0,1,4,22,0,0,0,6,0,0,0,184,244,6
"Midfielder","Everton",1.1,39,11,6,"i","Aiden","McGeady",53,0.1,7.4,2.8,0,866,1,2,4,13,0,0,0,1,0,0,0,100,122,6
"Midfielder","Everton",0,0,11,6,"a","Ryan","Ledson",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Midfielder","Everton",1.7,43,11,6,"a","Gareth","Barry",47,0.3,9.1,1.9,1.3,1989,0,1,6,32,0,0,0,8,1,0,0,231,305,6
"Forward","Everton",11.9,86,11,6,"a","Steven","Naismith",48,0.9,17.9,3.9,4.3,1807,7,2,6,27,0,0,0,6,0,0,16,357,388,6
"Forward","Everton",0.1,10,11,6,"a","Arouna","Koné",54,0,1.9,2,0.3,175,1,0,0,5,0,0,0,1,0,0,0,23,39,6
"Forward","Everton",0.1,0,11,6,"u","Conor","McAleny",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Goalkeeper","Hull",2.4,74,88,7,"a","Allan","McGregor",48,0.7,15.4,3.5,3.5,1890,0,0,4,31,0,2,0,0,0,57,6,182,310,7
"Goalkeeper","Hull",0.1,10,88,7,"a","Steve","Harper",44,0,2.3,3.3,0,222,0,0,1,2,0,0,0,0,0,7,0,24,40,7
"Defender","Hull",0.3,24,88,7,"i","Liam","Rosenior",41,0,5.9,2.2,0,573,0,2,1,9,0,0,0,0,0,0,0,78,127,7
"Defender","Hull",2.4,57,88,7,"i","James","Chester",43,0,13.3,3.6,0,1286,2,0,5,14,0,0,0,5,1,0,7,164,268,7
"Defender","Hull",1.7,19,88,7,"a","Paul","McShane",39,0.6,4.9,2.4,2.5,648,0,0,1,7,0,0,0,0,0,0,1,75,123,7
"Defender","Hull",0,0,88,7,"n","Joe","Dudgeon",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Defender","Hull",11.1,33,88,7,"a","Alex","Bruce",39,0.6,8.5,2.4,2.3,919,0,0,3,8,0,0,0,1,0,0,0,113,154,7
"Defender","Hull",0.4,2,88,7,"a","Maynor","Figueroa",41,0,0.5,1,0,132,0,0,0,4,0,0,0,0,0,0,0,1,18,7
"Defender","Hull",1.9,47,88,7,"a","Curtis","Davies",48,0.1,9.8,2.2,0.3,1812,0,0,4,31,1,0,0,2,0,0,5,159,316,7
"Midfielder","Hull",0.8,30,88,7,"a","Stephen","Quinn",44,0.1,6.8,1.8,0.5,927,0,3,1,14,0,0,0,2,1,0,0,111,174,7
"Midfielder","Hull",0.2,36,88,7,"a","Robbie","Brady",45,0.8,8,1.9,3.8,1128,0,1,3,14,0,0,0,2,0,0,3,179,178,7
"Midfielder","Hull",0.1,40,88,7,"a","David","Meyler",47,0.8,8.5,2.1,3.8,1181,1,1,3,18,0,0,0,5,0,0,3,154,198,7
"Midfielder","Hull",1.9,74,88,7,"a","Ahmed","Elmohamady",49,0.4,15.1,2.8,1.8,2340,1,3,6,35,0,0,0,4,0,0,6,295,399,7
"Midfielder","Burnley",6.8,75,90,3,"a","George","Boyd",47,0.5,16,3.1,2.5,2009,4,2,4,41,0,0,0,6,0,0,4,274,280,3
"Midfielder","Hull",1.2,43,88,7,"a","Tom","Huddlestone",53,0.4,8.1,2,2,1695,0,2,5,27,0,0,0,5,1,0,1,193,254,7
